method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
clean,0.20138898884490822,0.02891954257547904,True,10,2,0,yelp_orig,1
swap,0.49544440446203664,0.008846064694141793,True,20,1,2,yelp_orig,1
clean,0.23985606333213383,0.028268952698737124,True,20,2,0,yelp_orig,1
swap,0.4911766822598057,0.009691890319499718,True,30,1,2,yelp_orig,1
clean,0.23952500899604168,0.0350399443173692,True,30,2,0,yelp_orig,1
swap,0.5114573587621447,0.005420992957545369,True,40,1,2,yelp_orig,1
clean,0.22907520690896005,0.03512842130001538,True,40,2,0,yelp_orig,1
swap,0.5120546959337892,0.0036772931342805497,True,50,1,5,yelp_orig,1
clean,0.256178481468154,0.02254195275716268,True,50,2,0,yelp_orig,1
swap,0.5366102914717524,0.005227675944900679,True,100,1,2,yelp_orig,1
clean,0.26390068369917236,0.026673768569091146,True,100,2,0,yelp_orig,1
swap,0.66975,0.039519773531739764,True,5,1,15,ag_news_orig,2
clean,0.27799999999999997,0.03746331538985838,True,5,2,0,ag_news_orig,2
swap,0.78475,0.025774260416159375,True,10,1,15,ag_news_orig,2
clean,0.32625000000000004,0.05508232475123031,True,10,2,0,ag_news_orig,2
swap,0.8102499999999999,0.014639415971957328,True,20,1,15,ag_news_orig,2
clean,0.34175000000000005,0.03501874498036731,True,20,2,0,ag_news_orig,2
swap,0.8299999999999998,0.016201851746019652,True,30,1,15,ag_news_orig,2
clean,0.38725,0.04398081968313004,True,30,2,0,ag_news_orig,2
swap,0.8212499999999998,0.012808688457449485,True,40,1,15,ag_news_orig,2
clean,0.37625000000000003,0.027777013878385125,True,40,2,0,ag_news_orig,2
swap,0.8307500000000001,0.015694346115719505,True,50,1,15,ag_news_orig,2
clean,0.35450000000000004,0.04262921533408749,True,50,2,0,ag_news_orig,2
swap,0.8485000000000001,0.008817596044274192,True,100,1,1,ag_news_orig,2
clean,0.6100000000000001,0.0514052526498995,True,100,2,0,ag_news_orig,2
swap,0.3872427983539094,0.02030137052142261,True,5,1,15,20_news_orig,2
clean,0.18666838134430724,0.061123436519258674,True,5,2,0,20_news_orig,2
swap,0.4915980795610425,0.024654178684168547,True,10,1,15,20_news_orig,2
clean,0.18840020576131686,0.054657514952137984,True,10,2,0,20_news_orig,2
swap,0.583633401920439,0.03188335183120067,True,20,1,10,20_news_orig,2
clean,0.20726165980795605,0.05164458832002988,True,20,2,0,20_news_orig,2
swap,0.6333333333333334,0.021788445954980723,True,30,1,15,20_news_orig,2
clean,0.2425068587105624,0.06109376461750497,True,30,2,0,20_news_orig,2
swap,0.6621656378600822,0.017921713990327437,True,40,1,15,20_news_orig,2
clean,0.24127229080932783,0.03358930080898532,True,40,2,0,20_news_orig,2
swap,0.6691443758573389,0.012372884428790067,True,50,1,5,20_news_orig,2
clean,0.25922496570644715,0.03128544831919545,True,50,2,0,20_news_orig,2
swap,0.7050325788751715,0.012422141308631264,True,100,1,1,20_news_orig,2
clean,0.3308899176954732,0.04313493474633228,True,100,2,0,20_news_orig,2
swap,0.6732574679943101,0.10872596147414733,True,5,1,5,atis_orig,2
clean,0.26073968705547645,0.2091745170423791,True,5,2,0,atis_orig,2
swap,0.6470839260312945,0.20551634623546974,False,10,1,2,atis_orig,2
clean,0.4375533428165007,0.16901638275307557,False,10,2,0,atis_orig,2
swap,0.8517780938833571,0.04945960469325915,True,20,1,15,atis_orig,2
