method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
clean,0.84975,0.007110731326663947,True,40,2,0,ag_news_orig,1
cont,0.8640000000000001,0.00815475321515005,True,50,1,5,ag_news_orig,1
clean,0.8407500000000001,0.009555757426808186,True,50,2,0,ag_news_orig,1
cont,0.8634999999999999,0.009300537618869153,False,100,1,5,ag_news_orig,1
clean,0.859,0.005612486080160921,False,100,2,0,ag_news_orig,1
cont,0.562525720164609,0.015345361428903508,True,5,1,10,20_news_orig,1
clean,0.4166066529492456,0.06499383814491753,True,5,2,0,20_news_orig,1
cont,0.6223165294924555,0.015829365439015097,True,10,1,15,20_news_orig,1
clean,0.556764403292181,0.02973951180570305,True,10,2,0,20_news_orig,1
cont,0.6736968449931412,0.012393869803136892,True,20,1,15,20_news_orig,1
clean,0.6309242112482853,0.021176596869110154,True,20,2,0,20_news_orig,1
cont,0.6857938957475995,0.012615906060683892,False,30,1,15,20_news_orig,1
clean,0.6842163923182442,0.015632747645911445,False,30,2,0,20_news_orig,1
cont,0.7067129629629629,0.006586175920805443,False,40,2,2,20_news_orig,1
clean,0.7155778463648833,0.012550178267708675,False,40,1,0,20_news_orig,1
cont,0.7151748971193415,0.011829523637190925,False,50,2,10,20_news_orig,1
clean,0.7242112482853225,0.011174503009106563,False,50,1,0,20_news_orig,1
cont,0.7496056241426612,0.0059596087538584105,False,100,1,2,20_news_orig,1
clean,0.7473593964334706,0.004062519698752296,False,100,2,0,20_news_orig,1
cont,0.7561877667140825,0.04006837414841139,True,5,1,15,atis_orig,1
clean,0.6863442389758179,0.05914914224868389,True,5,2,0,atis_orig,1
cont,0.8167852062588906,0.05683780492549161,True,10,2,1,atis_orig,1
clean,0.8702702702702704,0.055256521109779924,True,10,1,0,atis_orig,1
cont,0.9379800853485063,0.016419577844105946,False,20,1,1,atis_orig,1
clean,0.9374110953058322,0.019555799551731916,False,20,2,0,atis_orig,1
cont,0.9559032716927455,0.011326332425259949,False,25,2,1,atis_orig,1
clean,0.9580369843527737,0.006917676481244859,False,25,1,0,atis_orig,1
cont,0.7513946373942775,0.026805086547945074,True,5,1,15,fb_orig,1
clean,0.5217383480295122,0.09449106702921764,True,5,2,0,fb_orig,1
cont,0.7931617779377361,0.01415517045650551,True,10,1,10,fb_orig,1
clean,0.6830304120928559,0.0782332676761549,True,10,2,0,fb_orig,1
cont,0.8449343170775598,0.005415395851751514,True,20,1,15,fb_orig,1
clean,0.7838941875112471,0.023044475589964114,True,20,2,0,fb_orig,1
cont,0.8849019254993701,0.010106644056407914,True,30,1,15,fb_orig,1
clean,0.826633075400396,0.02865397658794251,True,30,2,0,fb_orig,1
cont,0.8983084398056507,0.00690910198319257,True,40,1,5,fb_orig,1
clean,0.8452222422170236,0.027078438298507836,True,40,2,0,fb_orig,1
cont,0.9039949613100593,0.006531706687841632,True,50,1,5,fb_orig,1
clean,0.8824185711714954,0.014208374496824598,True,50,2,0,fb_orig,1
cont,0.3148868778280543,0.024269976433992466,True,5,1,10,sst_orig,1
clean,0.2446153846153846,0.02383563352469655,True,5,2,0,sst_orig,1
cont,0.30343891402714934,0.024855760060264923,True,10,1,10,sst_orig,1
clean,0.25099547511312215,0.01905514697278022,True,10,2,0,sst_orig,1
cont,0.33180995475113123,0.020229888219855545,True,20,1,10,sst_orig,1
clean,0.30294117647058816,0.029355497866858923,True,20,2,0,sst_orig,1
cont,0.3458823529411764,0.014078434927562913,False,30,2,2,sst_orig,1
clean,0.3511764705882353,0.0143838033302489,False,30,1,0,sst_orig,1
cont,0.3506334841628959,0.007629367202719024,False,40,1,15,sst_orig,1
clean,0.3419457013574661,0.021440564238971064,False,40,2,0,sst_orig,1
cont,0.35778280542986424,0.016235518594875632,False,50,1,2,sst_orig,1
clean,0.35538461538461535,0.014039113274766927,False,50,2,0,sst_orig,1
cont,0.3919909502262443,0.013369566800572203,False,100,2,1,sst_orig,1
clean,0.4002262443438914,0.016269784336399213,False,100,1,0,sst_orig,1
cont,0.28564951421374596,0.017371654667213122,True,5,1,15,yelp_orig,1
clean,0.2549406261245052,0.041295567977046706,True,5,2,0,yelp_orig,1
cont,0.36615329255127743,0.026340509519886302,True,10,1,15,yelp_orig,1
clean,0.3243540842029507,0.026051333076229838,True,10,2,0,yelp_orig,1
cont,0.4377689816480748,0.012661592521822486,True,20,1,5,yelp_orig,1
clean,0.3661964735516373,0.015289233427617897,True,20,2,0,yelp_orig,1
cont,0.43917956099316297,0.01747563057205056,True,30,1,5,yelp_orig,1
clean,0.42121626484346886,0.023306849108473988,True,30,2,0,yelp_orig,1
cont,0.4316444764303705,0.0130374386251166,False,40,1,5,yelp_orig,1
clean,0.40551997121266636,0.055016513316633056,False,40,2,0,yelp_orig,1
