method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
comb,0.9425320056899004,0.02709581722534434,True,20,1,10,atis_orig,0
swap,0.9394025604551921,0.020078577511913352,True,25,2,5,atis_orig,0
comb,0.9772403982930298,0.006487484637832972,True,25,1,10,atis_orig,0
swap,0.5928378621558394,0.014692207244381951,True,5,2,15,fb_orig,0
comb,0.7717473456901205,0.021928493265820866,True,5,1,10,fb_orig,0
swap,0.715997840561454,0.03086486654447733,True,10,2,1,fb_orig,0
comb,0.8677523843800611,0.009238612839991688,True,10,1,15,fb_orig,0
swap,0.8506748245456182,0.018466356372137633,True,20,2,10,fb_orig,0
comb,0.9102933237358288,0.005470844021436087,True,20,1,10,fb_orig,0
swap,0.9086377541839121,0.007195001120159631,True,30,2,10,fb_orig,0
comb,0.9244376462119849,0.003806722951278727,True,30,1,10,fb_orig,0
swap,0.919830843980565,0.006593388447543926,True,40,2,5,fb_orig,0
comb,0.927676804030952,0.0037337147630917404,True,40,1,10,fb_orig,0
swap,0.9306460320316721,0.006117456445945073,True,50,2,5,fb_orig,0
comb,0.9389958610761203,0.004415275920959225,True,50,1,15,fb_orig,0
swap,0.28054298642533937,0.013181330216184364,True,5,2,5,sst_orig,0
comb,0.30108597285067873,0.014286322660911722,True,5,1,15,sst_orig,0
swap,0.3252488687782805,0.01517936008886266,False,10,2,2,sst_orig,0
comb,0.3339366515837104,0.020613827264501235,False,10,1,2,sst_orig,0
swap,0.3469683257918552,0.01854408835382395,False,20,2,5,sst_orig,0
comb,0.3516289592760181,0.012473349489727493,False,20,1,5,sst_orig,0
swap,0.36144796380090494,0.013115617024066814,False,30,1,10,sst_orig,0
comb,0.36049773755656106,0.013742626002914784,False,30,2,2,sst_orig,0
swap,0.37520361990950224,0.018354315548243343,False,40,1,2,sst_orig,0
comb,0.37253393665158374,0.019758839647896365,False,40,2,5,sst_orig,0
swap,0.3933484162895927,0.020513314030084894,False,50,2,2,sst_orig,0
comb,0.39361990950226244,0.015750831596225204,False,50,1,2,sst_orig,0
swap,0.40226244343891404,0.01259350075784372,False,100,2,1,sst_orig,0
comb,0.4088235294117647,0.01820585297236083,False,100,1,1,sst_orig,0
swap,0.25731558114429653,0.014094156217792165,False,5,2,5,yelp_orig,0
comb,0.26388629003238573,0.016029887824493355,False,5,1,5,yelp_orig,0
swap,0.3412234616768621,0.025537262312725708,True,10,2,15,yelp_orig,0
comb,0.36318100035984163,0.018680606268423876,True,10,1,5,yelp_orig,0
swap,0.3724649154372076,0.01283355829385498,False,20,2,15,yelp_orig,0
comb,0.38902482907520686,0.02609165768887056,False,20,1,5,yelp_orig,0
swap,0.40985246491543714,0.023042063386072443,False,30,2,5,yelp_orig,0
comb,0.4128175602734797,0.016067950405385806,False,30,1,5,yelp_orig,0
swap,0.42315940985966166,0.020335857177424334,False,40,2,2,yelp_orig,0
comb,0.4311478949262324,0.0244256284416645,False,40,1,2,yelp_orig,0
swap,0.4542353364519611,0.015621014933218748,False,50,2,5,yelp_orig,0
comb,0.45559553796329616,0.015358900728852968,False,50,1,1,yelp_orig,0
swap,0.4846059733717164,0.01700565284284043,False,100,2,1,yelp_orig,0
comb,0.4900179920834832,0.013084143963294652,False,100,1,1,yelp_orig,0
swap,0.7889999999999999,0.016209565077447342,False,5,2,15,ag_news_orig,1
comb,0.79475,0.01310772672891833,False,5,1,15,ag_news_orig,1
swap,0.8244999999999999,0.010049875621120901,False,10,1,15,ag_news_orig,1
comb,0.818,0.011445523142259575,False,10,2,15,ag_news_orig,1
swap,0.8487500000000001,0.007766112283504534,False,20,2,1,ag_news_orig,1
comb,0.8552500000000001,0.00626996810199222,False,20,1,5,ag_news_orig,1
swap,0.8412500000000002,0.007685213074469698,False,30,2,15,ag_news_orig,1
comb,0.8415000000000001,0.009027735042633893,False,30,1,2,ag_news_orig,1
swap,0.85,0.00880340843082953,False,40,2,1,ag_news_orig,1
comb,0.85825,0.007909646009778191,False,40,1,1,ag_news_orig,1
swap,0.8459999999999999,0.004062019202317992,False,50,1,2,ag_news_orig,1
comb,0.845,0.007582875444051557,False,50,2,10,ag_news_orig,1
swap,0.8654999999999999,0.006000000000000003,False,100,1,10,ag_news_orig,1
comb,0.8620000000000001,0.005099019513592786,False,100,2,5,ag_news_orig,1
swap,0.5291495198902606,0.03772027753017837,True,5,2,2,20_news_orig,1
comb,0.5692558299039779,0.01826307976575497,True,5,1,15,20_news_orig,1
swap,0.5901748971193415,0.025853444116562485,True,10,2,2,20_news_orig,1
comb,0.6249485596707819,0.011992034219079227,True,10,1,5,20_news_orig,1
swap,0.6583590534979425,0.023522929124422942,False,20,2,2,20_news_orig,1
comb,0.6735168038408779,0.017507792857469052,False,20,1,5,20_news_orig,1
swap,0.68414780521262,0.014936577005015684,True,30,2,2,20_news_orig,1
comb,0.7025548696844992,0.009826404513065809,True,30,1,2,20_news_orig,1
swap,0.7092678326474623,0.01873078137036091,False,40,2,2,20_news_orig,1
comb,0.7178412208504801,0.01052730034493174,False,40,1,5,20_news_orig,1
swap,0.7213734567901234,0.010488968482826854,False,50,2,1,20_news_orig,1
comb,0.7266460905349794,0.006261649656425167,False,50,1,1,20_news_orig,1
swap,0.7250943072702332,0.026017323448672133,True,100,2,1,20_news_orig,1
comb,0.7520318930041153,0.00538201913244349,True,100,1,2,20_news_orig,1
swap,0.7458036984352774,0.049920770315405684,True,5,2,10,atis_orig,1
comb,0.819203413940256,0.0408646671993692,True,5,1,15,atis_orig,1
swap,0.8550497866287341,0.06077632056600112,False,10,2,2,atis_orig,1
comb,0.9112375533428164,0.022885498169772815,False,10,1,10,atis_orig,1
swap,0.9216216216216215,0.030657226268555014,False,20,2,2,atis_orig,1
comb,0.9280227596017069,0.011436558317065026,False,20,1,10,atis_orig,1
swap,0.9338549075391182,0.01584320564105809,False,25,2,2,atis_orig,1
comb,0.9418207681365576,0.011136263172716859,False,25,1,15,atis_orig,1
swap,0.7112110851178693,0.02834943404473864,True,5,2,10,fb_orig,1
comb,0.8231599784056145,0.022693384378393914,True,5,1,10,fb_orig,1
swap,0.7546157998920281,0.015693777306132882,True,10,2,10,fb_orig,1
comb,0.854165916861616,0.008474707334146438,True,10,1,15,fb_orig,1
swap,0.8109411552996223,0.008160119237779253,True,20,2,10,fb_orig,1
comb,0.8690480475076481,0.00593684711083912,True,20,1,15,fb_orig,1
swap,0.885819686881411,0.011064781445730561,True,30,2,10,fb_orig,1
comb,0.9146481914702177,0.00499742090678471,True,30,1,15,fb_orig,1
swap,0.9177793773618859,0.005584612447223357,True,40,2,10,fb_orig,1
comb,0.9346949793053808,0.003917404116758916,True,40,1,5,fb_orig,1
swap,0.9305020694619399,0.004538104617920012,True,50,2,15,fb_orig,1
comb,0.9398776318157278,0.003874179934500675,True,50,1,5,fb_orig,1
swap,0.277420814479638,0.025361536842883628,False,5,2,10,sst_orig,1
comb,0.28470588235294114,0.012712919117313874,False,5,1,15,sst_orig,1
swap,0.3023076923076923,0.012013468142108585,False,10,1,5,sst_orig,1
comb,0.30095022624434387,0.015889312780660914,False,10,2,15,sst_orig,1
swap,0.35950226244343886,0.020667640618297345,False,20,2,5,sst_orig,1
comb,0.3595022624434389,0.022009981895598482,False,20,1,5,sst_orig,1
swap,0.37873303167420813,0.01496910271720206,False,30,1,5,sst_orig,1
comb,0.37380090497737556,0.012815019673156883,False,30,2,1,sst_orig,1
swap,0.37963800904977374,0.013720185274191799,False,40,2,5,sst_orig,1
comb,0.3831221719457013,0.012973175008216799,False,40,1,2,sst_orig,1
swap,0.37823529411764706,0.014990220189743421,False,50,2,2,sst_orig,1
comb,0.388235294117647,0.013564098454990103,False,50,1,5,sst_orig,1
swap,0.40470588235294114,0.010476261383660495,False,100,2,2,sst_orig,1
comb,0.4092307692307692,0.01659862718289034,False,100,1,2,sst_orig,1
swap,0.32382151853184593,0.039392487360973755,False,5,1,5,yelp_orig,1
comb,0.310082763584023,0.03224607358892633,False,5,2,5,yelp_orig,1
swap,0.3659014033825117,0.030117175068558787,True,10,2,10,yelp_orig,1
comb,0.4186326016552716,0.02139274796405141,True,10,1,1,yelp_orig,1
