method,mean,std,is_stat,seed,rank,col,dataset,rand_seed
back,0.841,0.007088723439378918,False,10,2,5,ag_news_orig,1
swap,0.85375,0.007520804478245686,True,20,1,10,ag_news_orig,1
back,0.8465,0.0055000000000000136,True,20,2,1,ag_news_orig,1
swap,0.84375,0.00875000000000001,True,30,1,2,ag_news_orig,1
back,0.8322499999999999,0.00945052908571789,True,30,2,10,ag_news_orig,1
swap,0.8585,0.007088723439378921,False,40,1,5,ag_news_orig,1
back,0.8557499999999999,0.005595757321399841,False,40,2,15,ag_news_orig,1
swap,0.8567499999999999,0.004038873605350878,False,50,2,5,ag_news_orig,1
back,0.8567499999999999,0.00622996789718857,False,50,2,5,ag_news_orig,1
swap,0.875,0.004031128874149244,False,100,2,2,ag_news_orig,1
back,0.875,0.007499999999999984,False,100,2,1,ag_news_orig,1
swap,0.5561642661179699,0.017707126978543136,True,5,1,2,20_news_orig,1
back,0.4571330589849108,0.06939834453529407,True,5,2,5,20_news_orig,1
swap,0.6767661179698216,0.009189280472198367,False,10,2,2,20_news_orig,1
back,0.6796553497942387,0.006585930392013365,False,10,1,10,20_news_orig,1
swap,0.6955675582990397,0.006972695039239562,False,20,2,5,20_news_orig,1
back,0.6982681755829904,0.007436464214728323,False,20,1,1,20_news_orig,1
swap,0.71005658436214,0.004126543722869073,True,30,2,1,20_news_orig,1
back,0.7310956790123456,0.0028107771830550294,True,30,1,5,20_news_orig,1
swap,0.7140089163237311,0.0048157416774046915,True,40,2,1,20_news_orig,1
back,0.7382630315500687,0.003438441751614472,True,40,1,10,20_news_orig,1
swap,0.7272976680384089,0.004099621763297507,True,50,2,1,20_news_orig,1
back,0.7459533607681756,0.0025559051859788827,True,50,1,10,20_news_orig,1
swap,0.7453017832647462,0.0036948816589845185,True,100,2,2,20_news_orig,1
back,0.7596279149519891,0.001989340149507207,True,100,1,2,20_news_orig,1
swap,0.8116642958748223,0.017711957230467573,False,5,1,15,atis_orig,1
back,0.7590327169274539,0.21674170626464598,False,5,2,5,atis_orig,1
swap,0.8298719772403983,0.022294319429263253,False,10,1,15,atis_orig,1
back,0.8253200568990042,0.024004030344964827,False,10,2,1,atis_orig,1
swap,0.9331436699857752,0.016193740507263393,True,20,1,10,atis_orig,1
back,0.9159317211948791,0.014030681840205048,True,20,2,10,atis_orig,1
swap,0.9486486486486487,0.006835285221470251,True,25,1,15,atis_orig,1
back,0.9274537695590327,0.013820720115494862,True,25,2,5,atis_orig,1
swap,0.8352168436206586,0.008833503422657733,True,5,1,15,fb_orig,1
back,0.31547597624617596,0.15759840514168838,True,5,2,2,fb_orig,1
swap,0.8799172215224041,0.007647926832672182,True,10,1,10,fb_orig,1
back,0.7673564873132986,0.046701433213054894,True,10,2,1,fb_orig,1
swap,0.8822566132805472,0.006083403442449158,True,20,1,10,fb_orig,1
back,0.8467878351628576,0.009662398329564113,True,20,2,2,fb_orig,1
swap,0.9242756883210366,0.004366452614967529,True,30,1,10,fb_orig,1
back,0.8978225661328054,0.0034547267506975995,True,30,2,1,fb_orig,1
swap,0.9228000719812849,0.004086166486805116,True,40,1,10,fb_orig,1
back,0.8796832823465899,0.009552854870258134,True,40,2,10,fb_orig,1
swap,0.9316717653410114,0.0022099104379378954,True,50,1,15,fb_orig,1
back,0.90721612380781,0.004660197577607662,True,50,2,1,fb_orig,1
swap,0.30642533936651584,0.008544251766097504,True,5,1,15,sst_orig,1
back,0.22176470588235292,0.030641503592163465,True,5,2,5,sst_orig,1
swap,0.35389140271493214,0.008564954690143385,True,10,1,10,sst_orig,1
back,0.3204977375565611,0.020318757521293147,True,10,2,5,sst_orig,1
swap,0.40271493212669685,0.008394854229054699,True,20,1,10,sst_orig,1
back,0.25882352941176473,0.06563831536637005,True,20,2,1,sst_orig,1
swap,0.4364253393665158,0.005699381974780543,True,30,1,5,sst_orig,1
back,0.38321266968325784,0.019980795841328704,True,30,2,15,sst_orig,1
swap,0.43809954751131225,0.008618216957143918,True,40,1,10,sst_orig,1
back,0.2978733031674208,0.04096112452164567,True,40,2,2,sst_orig,1
swap,0.4419457013574661,0.009302027325954355,True,50,1,5,sst_orig,1
back,0.3438009049773756,0.021537510910996004,True,50,2,10,sst_orig,1
swap,0.45398190045248865,0.005377005154842982,True,100,1,5,sst_orig,1
back,0.4470588235294118,0.0068114202959941045,True,100,2,10,sst_orig,1
swap,0.42621806405181717,0.012959738572939385,True,5,1,10,yelp_orig,1
back,0.30284274919035625,0.04546015837435804,True,5,2,5,yelp_orig,1
swap,0.4601727240014394,0.007163539396421518,True,10,1,5,yelp_orig,1
back,0.4221374595178121,0.024587719818397167,True,10,2,5,yelp_orig,1
swap,0.5057718603814322,0.005909038496446079,True,20,1,5,yelp_orig,1
back,0.4826772220223102,0.022200680787313576,True,20,2,10,yelp_orig,1
swap,0.5076070528967253,0.011225297653713273,True,30,1,5,yelp_orig,1
back,0.4963943864699532,0.009998170842574566,True,30,2,5,yelp_orig,1
swap,0.5269881252249009,0.008535653753287664,True,40,1,5,yelp_orig,1
back,0.49633681180280675,0.016178385424718666,True,40,2,5,yelp_orig,1
swap,0.5120115149334293,0.009005260479836798,False,50,2,5,yelp_orig,1
back,0.5122346167686218,0.007967921690493,False,50,1,10,yelp_orig,1
swap,0.5439366678661388,0.002972213774541122,False,100,2,2,yelp_orig,1
back,0.5442389348686578,0.006923922265817456,False,100,1,5,yelp_orig,1
swap,0.778,0.005220153254455294,True,5,1,15,ag_news_orig,2
back,0.721,0.026462237244798497,True,5,2,2,ag_news_orig,2
swap,0.82825,0.006712860791048781,True,10,1,15,ag_news_orig,2
back,0.8147499999999999,0.009249999999999987,True,10,2,15,ag_news_orig,2
swap,0.8520000000000001,0.005338539126015642,True,20,2,2,ag_news_orig,2
back,0.857,0.0031224989991991987,True,20,1,10,ag_news_orig,2
swap,0.8475000000000001,0.010124228365658293,False,30,1,2,ag_news_orig,2
back,0.8460000000000001,0.006144102863722272,False,30,2,15,ag_news_orig,2
swap,0.8477500000000001,0.006269968101992223,True,40,2,2,ag_news_orig,2
back,0.86025,0.007022285952594074,True,40,1,15,ag_news_orig,2
swap,0.85875,0.006446898479113814,False,50,2,2,ag_news_orig,2
back,0.8610000000000001,0.0059371710435189625,False,50,1,2,ag_news_orig,2
swap,0.87425,0.0038810436740649833,False,100,1,5,ag_news_orig,2
back,0.874,0.0048989794855663436,False,100,2,5,ag_news_orig,2
swap,0.6084790809327846,0.013693773018737794,True,5,1,15,20_news_orig,2
back,0.5256515775034294,0.026359810251466293,True,5,2,10,20_news_orig,2
swap,0.6866169410150891,0.007706045374276671,False,10,2,15,20_news_orig,2
back,0.6890260631001371,0.004957286968338161,False,10,1,5,20_news_orig,2
swap,0.7179612482853224,0.005013057367524941,False,20,2,2,20_news_orig,2
back,0.7208419067215364,0.007874128502250515,False,20,1,5,20_news_orig,2
swap,0.7236111111111111,0.006117195092027586,True,30,2,2,20_news_orig,2
back,0.7364883401920439,0.0024128262361987527,True,30,1,15,20_news_orig,2
swap,0.7274176954732511,0.003954590896671661,True,40,2,2,20_news_orig,2
back,0.7433470507544582,0.002008882252346729,True,40,1,15,20_news_orig,2
swap,0.7280092592592593,0.0040901891111015665,True,50,2,1,20_news_orig,2
back,0.7454818244170097,0.001471054516195102,True,50,1,2,20_news_orig,2
swap,0.746167695473251,0.005609780888823775,True,100,2,1,20_news_orig,2
back,0.7612740054869684,0.0023586168491066864,True,100,1,1,20_news_orig,2
swap,0.8903271692745376,0.015909479495921912,True,5,2,15,atis_orig,2
back,0.922190611664296,0.010019113316040006,True,5,1,5,atis_orig,2
swap,0.9048364153627311,0.020813392107598583,False,10,1,2,atis_orig,2
back,0.8867709815078235,0.01850530226793678,False,10,2,5,atis_orig,2
swap,0.9479374110953058,0.013706047761531618,True,20,1,10,atis_orig,2
back,0.8556187766714084,0.019161220175591836,True,20,2,2,atis_orig,2
swap,0.9715504978662874,0.0047605122420146416,True,25,1,10,atis_orig,2
back,0.9119487908961592,0.020667050702440036,True,25,2,10,atis_orig,2
swap,0.8268130286125608,0.005149429634647297,True,5,1,15,fb_orig,2
back,0.42341191290264535,0.19558232808120624,True,5,2,15,fb_orig,2
swap,0.8461579989202808,0.005344004463875772,True,10,1,5,fb_orig,2
back,0.7978225661328054,0.014820597393356415,True,10,2,5,fb_orig,2
swap,0.9057405074680582,0.004320226530230547,True,20,1,15,fb_orig,2
back,0.8547417671405435,0.008845135147357285,True,20,2,15,fb_orig,2
swap,0.9243656649271189,0.0029896614518162452,True,30,1,15,fb_orig,2
back,0.9053985963649451,0.004195689315165174,True,30,2,15,fb_orig,2
swap,0.9265610941155298,0.0022439379059606486,True,40,1,15,fb_orig,2
back,0.885459780457081,0.006797969287595846,True,40,2,1,fb_orig,2
swap,0.9322836062623718,0.0027575150885273806,True,50,1,15,fb_orig,2
back,0.9076660068382221,0.004671475861832993,True,50,2,2,fb_orig,2
swap,0.27714932126696834,0.011711068120413082,False,5,1,15,sst_orig,2
back,0.24194570135746604,0.03992224891609262,False,5,2,1,sst_orig,2
swap,0.33787330316742087,0.005773620900851608,True,10,1,15,sst_orig,2
back,0.3120814479638009,0.01985806807503317,True,10,2,1,sst_orig,2
swap,0.38628959276018093,0.00900452488687785,True,20,1,10,sst_orig,2
back,0.23384615384615381,0.03844173032649377,True,20,2,10,sst_orig,2
swap,0.40719457013574656,0.008255779801139021,True,30,1,5,sst_orig,2
back,0.3553393665158371,0.017638993399954346,True,30,2,15,sst_orig,2
swap,0.4291855203619909,0.008427108309520662,True,40,1,10,sst_orig,2
back,0.30823529411764705,0.04628886293396342,True,40,2,2,sst_orig,2
swap,0.43095022624434387,0.007591028769415667,True,50,1,10,sst_orig,2
back,0.355972850678733,0.019634098908011214,True,50,2,15,sst_orig,2
swap,0.4578280542986425,0.007096430740313262,True,100,1,5,sst_orig,2
back,0.4493665158371041,0.0038472183780995347,True,100,2,10,sst_orig,2
swap,0.3622382151853184,0.021210718797333012,True,5,1,10,yelp_orig,2
back,0.22485066570708884,0.04489431799488218,True,5,2,5,yelp_orig,2
swap,0.4575242893127024,0.015805991169142733,False,10,2,5,yelp_orig,2
back,0.462885930190716,0.007404684746266246,False,10,1,5,yelp_orig,2
swap,0.5007556675062973,0.005019759047850851,False,20,2,5,yelp_orig,2
back,0.5022885930190716,0.010530570801257574,False,20,1,15,yelp_orig,2
swap,0.5042317380352646,0.007452740579526505,True,30,2,5,yelp_orig,2
back,0.5149406261245052,0.005958217466189158,True,30,1,1,yelp_orig,2
swap,0.5273191795609932,0.0049092163872952975,False,40,2,5,yelp_orig,2
back,0.5295645915797049,0.007239459944416721,False,40,1,15,yelp_orig,2
swap,0.5281180280676503,0.005962505887456311,True,50,2,5,yelp_orig,2
back,0.5429650953580425,0.004421837749557718,True,50,1,2,yelp_orig,2
swap,0.5479668945663907,0.005895871515340016,False,100,1,2,yelp_orig,2
back,0.5477509895645916,0.004850366719632463,False,100,2,5,yelp_orig,2
