res_orig,res_swap_llm,res_back,res_cont,res_cont_ins,res_spell,res_rand,res_w2v,res_ins_llm,res_spell_llm,res_rand_llm,res_para_llm
0.850746269,0.769972452,0.786885246,0.748397436,0.826040555,0.792544571,0.811756935,0.74665954,0.816824966,0.611464968,0.82137834,0.824250681
0.893314367,0.58953168,0.598360656,0.630876068,0.661152615,0.638573744,0.644649934,0.661678247,0.678426052,0.537154989,0.651195499,0.656675749
0.850640114,0.702479339,0.786885246,0.728632479,0.783351121,0.739059968,0.754953765,0.709246392,0.770691995,0.564755839,0.767932489,0.797002725
0.826458037,0.731404959,0.827868852,0.734508547,0.842582711,0.740140465,0.797886394,0.716729022,0.854816825,0.605095541,0.834036568,0.836512262
0.850746269,0.758953168,0.87704918,0.749465812,0.851120598,0.805510535,0.846103038,0.766969535,0.841248304,0.624203822,0.843881857,0.83106267
0.840682788,0.713498623,0.786885246,0.736645299,0.806296692,0.763371151,0.760237781,0.732228755,0.803256445,0.592356688,0.793248945,0.801089918
0.846372688,0.723140496,0.836065574,0.767094017,0.855389541,0.801188547,0.815719947,0.740245858,0.850746269,0.647558386,0.846694796,0.835149864
0.854907539,0.801652893,0.885245902,0.772970085,0.901280683,0.819016748,0.855350066,0.7797969,0.905020353,0.630573248,0.888888889,0.877384196
0.839260313,0.67768595,0.803278689,0.743589744,0.817502668,0.754727175,0.777410832,0.707108498,0.826322931,0.643312102,0.803094233,0.813351499
0.857752489,0.750688705,0.827868852,0.763354701,0.866595518,0.809832523,0.824306473,0.761090326,0.842605156,0.59447983,0.850914205,0.839237057
