res_orig,res_swap_llm,res_back,res_cont,res_cont_ins,res_spell,res_rand,res_w2v,res_ins_llm,res_spell_llm,res_rand_llm,res_para_llm
0.87197724,0.658402204,0.696721311,0.6875,0.735325507,0.682333874,0.693527081,0.674505612,0.754409769,0.539278132,0.736990155,0.764305177
0.910384068,0.61707989,0.672131148,0.646901709,0.688367129,0.657482442,0.654557464,0.652057723,0.712347354,0.518046709,0.696202532,0.769754768
0.889046942,0.61707989,0.655737705,0.615918803,0.628601921,0.644516478,0.604359313,0.628540887,0.644504749,0.49044586,0.631504923,0.634877384
0.917496444,0.64738292,0.795081967,0.71474359,0.768409819,0.722312264,0.760898283,0.672367718,0.78697422,0.607218684,0.753867792,0.698910082
0.883357041,0.679063361,0.680327869,0.695512821,0.759338314,0.715289033,0.731836196,0.699625869,0.777476255,0.59447983,0.76511955,0.747956403
0.883357041,0.637741047,0.754098361,0.664529915,0.71398079,0.643435981,0.675693527,0.630678781,0.715061058,0.477707006,0.710267229,0.723433243
0.891891892,0.702479339,0.713114754,0.709935897,0.783884739,0.725013506,0.751651255,0.70283271,0.79375848,0.57537155,0.769338959,0.788828338
0.870554765,0.564738292,0.606557377,0.584935897,0.604055496,0.595353863,0.57992074,0.615713522,0.60651289,0.496815287,0.593530239,0.602179837
0.910384068,0.619834711,0.663934426,0.628739316,0.668089648,0.615343058,0.634742404,0.629609834,0.671641791,0.450106157,0.682137834,0.723433243
0.876244666,0.685950413,0.704918033,0.719551282,0.789754536,0.755807672,0.797225892,0.750400855,0.79375848,0.615711253,0.798874824,0.782016349
