res_orig,res_swap_llm,res_back,res_cont,res_cont_ins,res_spell,res_rand,res_w2v,res_ins_llm,res_spell_llm,res_rand_llm,res_para_llm
0.55049786628734,0.6322314049586777,0.7049180327868853,0.6388888888888888,0.7139807897545357,0.6596434359805511,0.6532364597093792,0.6520577231427044,0.7001356852103121,0.6878980891719745,0.6765119549929677,0.7043596730245232
0.5860597439544808,0.6294765840220385,0.6885245901639344,0.6527777777777778,0.7102454642475987,0.6790923824959482,0.6988110964332893,0.6509887760555852,0.7245590230664858,0.6878980891719745,0.7018284106891702,0.7016348773841962
0.5092460881934566,0.5895316804407713,0.6475409836065574,0.6036324786324786,0.6179295624332978,0.6164235548352242,0.6089828269484808,0.6076964190272581,0.6377204884667571,0.6242038216560509,0.6357243319268636,0.6975476839237057
0.4722617354196302,0.6101928374655647,0.7049180327868853,0.6260683760683761,0.6819637139807898,0.6455969746083198,0.630779392338177,0.6194548369855692,0.7001356852103121,0.7091295116772823,0.6905766526019691,0.6893732970027248
0.5320056899004267,0.6267217630853994,0.7049180327868853,0.6372863247863247,0.7075773745997865,0.6256077795786061,0.631439894319683,0.6440406199893105,0.6987788331071914,0.6624203821656051,0.6863572433192686,0.7002724795640327
0.3541963015647226,0.6074380165289256,0.6967213114754098,0.6367521367521367,0.7086446104589115,0.6796326310102647,0.6922060766182299,0.6365579903794762,0.7014925373134329,0.7006369426751592,0.680731364275668,0.6716621253405994
0.5419630156472262,0.6639118457300276,0.7540983606557377,0.6666666666666666,0.7273212379935966,0.6731496488384657,0.6849405548216645,0.6547300908605024,0.7150610583446404,0.692144373673036,0.7229254571026723,0.723433242506812
0.35135135135135137,0.6377410468319559,0.7213114754098361,0.6452991452991453,0.7038420490928495,0.668827660723933,0.667107001321004,0.6392303580972741,0.7109905020352781,0.692144373673036,0.7172995780590717,0.720708446866485
0.3129445234708393,0.6377410468319559,0.6967213114754098,0.6452991452991453,0.7033084311632871,0.678011885467315,0.655217965653897,0.649919828968466,0.6974219810040706,0.6815286624203821,0.69901547116737,0.7070844686648501
0.4096728307254623,0.6143250688705234,0.7131147540983607,0.6212606837606838,0.6889007470651014,0.6272285251215559,0.6360634081902246,0.6301443078567611,0.6987788331071914,0.6496815286624203,0.680731364275668,0.7029972752043597
