res_orig,res_swap_llm,res_back,res_cont,res_cont_ins,res_spell,res_rand,res_w2v,res_ins_llm,res_spell_llm,res_rand_llm,res_para_llm
0.7951635846372689,0.7589531680440771,0.8278688524590164,0.7382478632478633,0.8153681963713981,0.7968665586169638,0.8269484808454426,0.7728487439871726,0.8100407055630936,0.7006369426751592,0.8171589310829818,0.8160762942779292
0.701280227596017,0.7038567493112947,0.7950819672131147,0.7142094017094017,0.7844183564567769,0.7655321447866018,0.7714663143989432,0.7413148049171566,0.746268656716418,0.7176220806794055,0.7609001406469761,0.7683923705722071
0.7297297297297297,0.7355371900826446,0.819672131147541,0.7580128205128205,0.8185699039487727,0.7893030794165316,0.8071334214002642,0.757883484767504,0.8208955223880597,0.6284501061571125,0.8171589310829818,0.8119891008174387
0.7709815078236131,0.7520661157024794,0.8278688524590164,0.7323717948717948,0.8185699039487727,0.7720151269584009,0.8355350066050198,0.7594869053981828,0.8100407055630936,0.70276008492569,0.8255977496483825,0.7861035422343324
0.7980085348506402,0.7231404958677686,0.8278688524590164,0.7382478632478633,0.8260405549626467,0.782279848730416,0.8256274768824307,0.7701763762693746,0.8385345997286295,0.5944798301486199,0.8241912798874824,0.7806539509536785
0.7738264580369844,0.7920110192837465,0.8360655737704918,0.7553418803418803,0.8287086446104589,0.804430037817396,0.8361955085865258,0.7712453233564939,0.8181818181818182,0.6772823779193206,0.8185654008438819,0.7983651226158038
0.7226173541963016,0.6639118457300276,0.7950819672131147,0.6853632478632479,0.7801494130202775,0.7061048082117775,0.7556142668428005,0.7081774452164618,0.7720488466757124,0.6772823779193206,0.7468354430379747,0.7656675749318801
0.615931721194879,0.6955922865013774,0.7377049180327869,0.6987179487179487,0.7459978655282817,0.7396002160994057,0.7364597093791282,0.7087119187600214,0.7421981004070556,0.6709129511677282,0.739803094233474,0.7425068119891008
0.918918918918919,0.6639118457300276,0.7459016393442623,0.7077991452991453,0.756136606189968,0.7493246893571043,0.7529722589167768,0.7226082308925709,0.7883310719131614,0.5668789808917197,0.7454289732770746,0.7493188010899182
0.9473684210526315,0.6818181818181818,0.7868852459016393,0.6858974358974359,0.7550693703308431,0.7017828200972447,0.7159841479524438,0.6862640299305185,0.7489823609226595,0.5562632696390658,0.7468354430379747,0.726158038147139
